name,orderCode_or_reference,field,old_m,new_m,source,reading
Bobbin PQ 20/16,PQ0010FR3BLK0001,pinout.rowDistance,0.01016,0.02032,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0010.pdf,"top view, right-hand dimension 0.800 in between the extension lines through the two pin-row centres"
Bobbin PQ 20/20,PQ0020FR3BLK0001,pinout.rowDistance,0.01016,0.02032,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0020.pdf,"top view, right-hand dimension 0.800 in between the extension lines through the two pin-row centres"
Bobbin PQ 26/20,PQ0030FR3BLK0001,pinout.rowDistance,0.0127,0.0254,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0030.pdf,"top view, right-hand dimension 1.000 in between the extension lines through the two pin-row centres"
Bobbin PQ 26/25,PQ0040FR3BLK0001,pinout.rowDistance,0.0127,0.0254,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0040.pdf,"top view, right-hand dimension 1.000 in between the extension lines through the two pin-row centres"
Bobbin PQ 32/20,PQ0050FR3BLK0001,pinout.rowDistance,0.01524,0.03048,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0050.pdf,"top view, right-hand dimension 1.200 in between the extension lines through the two pin-row centres"
Bobbin PQ 32/30,PQ0060FR3BLK0001,pinout.rowDistance,0.01524,0.03048,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0060.pdf,"top view, right-hand dimension 1.200 in between the extension lines through the two pin-row centres"
Bobbin PQ 35/35,PQ0070FR3BLK0001,pinout.rowDistance,0.01778,0.03556,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0070.pdf,"top view, right-hand dimension 1.400 in between the extension lines through the two pin-row centres"
Bobbin PQ 40/40,PQ0080FR3BLK0001,pinout.rowDistance,0.01905,0.0381,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0080.pdf,"top view, right-hand dimension 1.500 in between the extension lines through the two pin-row centres"
Bobbin ETD 59/31/22,SW-59A,pinout.rowDistance,0.0254,0.0508,"http://www.tw-dgswarm.com/product/1304.html (drawing /repository/image/f979d6c6-5fe9-4c8b-b698-466676aead03.png, SW-59A ETD-59-H-24P 2006/02/13)","bottom view, 50.8(M) between the extension lines through pin 12 and pin 13 centres (55.6(L) is rail edge to rail edge, not pins)"
Bobbin ETD 59/31/22,SW-59A,pinout.centralPitch,0.0,(removed),same drawing,"front view 11*5.08(I): 12 pins evenly at 5.08 mm, no central gap; regular rows omit centralPitch (127 records); 0.0 put pins 6 and 7 on top of each other"
