record,reference,sheet,shape_old,shape_new,c_old_mm,f_old_mm,e_old_mm,l2_old_mm,s1_old_mm,s2_old_mm,c_new_mm,f_new_mm,e_new_mm,l2_new_mm,s1_new_mm,s2_new_mm,printed_bore_f_x_c,printed_tube,printed_flange,printed_length_overall_inner,wall_depth_direction_mm,note
Bobbin EER 28 horizontal 12-pin (Norwe 90585-186),90585-186,https://www.norwe.eu/katalogbilder/002/90585a01.pdf,ER 28/6.5/21,ER 28,10.2,10.2,16.1,11.8,0.5,0.5,10.2,10.2,20.9,18.5,0.9,1.2,10.2 x 10.2,12 x 12,20.9,18.5 / 16.1,0.9,sheet type EER 28 (not the planar ER 28/6.5/21: its window is 5.7 mm high against an 18.5 mm former)
Bobbin EER 28L horizontal 12-pin (Norwe 90297-186),90297-186,https://www.norwe.eu/katalogbilder/002/90297a01.pdf,EER 28L,EER 28L,10.2,10.2,21.8,11.8,0.5,0.5,10.2,10.2,20.9,24.2,0.9,1.2,10.2 x 10.2,12 x 12,20.9,24.2 / 21.8,0.9,
Bobbin EER 35 horizontal 16-pin (Norwe 90298-186),90298-186,https://www.norwe.eu/katalogbilder/002/90298a01.pdf,EER 35,EER 35,11.6,11.6,26.4,11.8,0.5,0.5,11.6,11.6,25.2,28.7,1.0,1.15,11.6 x 11.6,13.6 x 13.6,25.2,28.7 / 26.4,1.0,
Bobbin EER 40L horizontal 16-pin (Norwe N0033-186),N0033-186,https://www.norwe.eu/katalogbilder/002/n0033a01.pdf,EER 40L,EER 40L,12.01,12.01,26.68,11.8,0.5,0.5,13.8,13.8,28.6,29.8,1.0,1.2,13.8 x 13.8,15.8 x 15.8,28.6,29.8 / 27.4,1.0,
Bobbin EER 42L horizontal 16-pin (Norwe N0034-186),N0034-186,https://www.norwe.eu/katalogbilder/002/n0034a01.pdf,EER 42L,EER 42L,12.01,12.01,27.05,11.8,0.5,0.5,16,16,30,29.9,1.0,1.2,16 x 16,18 x 18,30,29.9 / 27.5,1.0,
Bobbin EER 48 horizontal 20-pin (Norwe N0036-186),N0036-186,https://www.norwe.eu/katalogbilder/002/n0036a01.pdf,ER 48/18/18,ER 48/18/18,12.48,12.48,32.2,9.8,0.5,0.5,18.2,18.2,35.6,22,1.0,1.2,18.2 x 18.2,20.2 x 20.2,35.6,22 / 19.6,1.0,
Bobbin EER 48L horizontal 20-pin (Norwe N0037-186),N0037-186,https://www.norwe.eu/katalogbilder/002/n0037a01.pdf,ER 48/21/21,ER 48/21/21,12.48,12.48,32.2,9.8,0.5,0.5,18.5,18.5,37,29,1.0,1.2,18.5 x 18.5,20.5 x 20.5,37,29 / 26.6,1.0,
Bobbin EER 49L horizontal 20-pin (Norwe N0038-186),N0038-186,https://www.norwe.eu/katalogbilder/002/n0038a01.pdf,ER 49/27/17,ER 49/27/17,12.87,12.87,32.57,11.8,0.5,0.5,17.6,17.6,37,36,1.0,1.2,17.6 x 17.6,19.6 x 19.6,37,36 / 33.6,1.0,
Bobbin EER 54L horizontal 20-pin (Norwe N0039-186),N0039-186,https://www.norwe.eu/katalogbilder/002/n0039a01.pdf,ER 54/18/18,ER 54/18/18,14.04,14.04,35.88,11.8,0.5,0.5,18.4,18.4,39.4,20.4,1.0,1.2,18.4 x 18.4,20.4 x 20.4,39.4,20.4 / 18,1.0,
Bobbin EER 28 vertical 12-pin (Norwe N0040-186),N0040-186,https://www.norwe.eu/katalogbilder/002/n0040a01.pdf,ER 28/6.5/21,ER 28,10.2,10.2,16.1,11.8,0.5,0.5,10.3,10.3,21,18.4,1.0,0.8,10.3 x 10.3,12.3 x 12.3,21,18.4 / 16.8,1.0,sheet type EER 28 (not the planar ER 28/6.5/21)
Bobbin EER 28L vertical 12-pin (Norwe N0041-186),N0041-186,https://www.norwe.eu/katalogbilder/002/n0041a01.pdf,EER 28L,EER 28L,10.2,10.2,21.8,11.8,0.5,0.5,10.3,10.3,21,24.2,1.0,1.2,10.3 x 10.3,12.3 x 12.3,21,24.2 / 21.8,1.0,
Bobbin EER 35 vertical 12-pin (Norwe N0042-186),N0042-186,https://www.norwe.eu/katalogbilder/002/n0042a01.pdf,EER 35,EER 35,11.6,11.6,26.4,11.8,0.5,0.5,11.7,11.7,25.3,28.7,1.0,1.1,11.7 x 11.7,13.7 x 13.7,25.3,28.7 / 26.5,1.0,
Bobbin EER 40 vertical 12-pin (Norwe N0043-186),N0043-186,https://www.norwe.eu/katalogbilder/002/n0043a01.pdf,ER 40,ER 40,12.01,12.01,26.68,9.8,0.5,0.5,13.8,13.8,28.6,30,1.0,1.2,13.8 x 13.8,15.8 x 15.8,28.6,30 / 27.6,1.0,
Bobbin EER 42L vertical 14-pin (Norwe N0044-186),N0044-186,https://www.norwe.eu/katalogbilder/002/n0044a01.pdf,EER 42L,EER 42L,12.01,12.01,27.05,11.8,0.5,0.5,16,16,26,29.9,1.0,1.2,16 x 16,18 x 18,26,29.9 / 27.5,1.0,
Bobbin EER 48 vertical 20-pin (Norwe N0046-186),N0046-186,https://www.norwe.eu/katalogbilder/002/n0046a01.pdf,ER 48/18/18,ER 48/18/18,12.48,12.48,32.2,9.8,0.5,0.5,18.2,18.2,34,22,1.0,1.2,18.2 x 18.2,20.2 x 20.2,34,22 / 19.6,1.0,
Bobbin EER 48L vertical 20-pin (Norwe 90708-186),90708-186,https://www.norwe.eu/katalogbilder/002/90708a01.pdf,ER 48/21/21,ER 48/21/21,12.48,12.48,32.2,9.8,0.5,0.5,18.5,18.5,37,29,1.0,1.2,18.5 x 18.5,20.5 x 20.5,37,29 / 26.6,1.0,
Bobbin EER 49L vertical 20-pin (Norwe N0047-186),N0047-186,https://www.norwe.eu/katalogbilder/002/n0047a01.pdf,ER 49/27/17,ER 49/27/17,12.87,12.87,32.57,11.8,0.5,0.5,17.6,17.6,36,36,1.0,1.2,17.6 x 17.6,19.6 x 19.6,36,36 / 33.6,1.0,
Bobbin EER 54L vertical 22-pin (Norwe N0048-186),N0048-186,https://www.norwe.eu/katalogbilder/002/n0048a01.pdf,ER 54/18/18,ER 54/18/18,14.04,14.04,35.88,11.8,0.5,0.5,18.4,18.4,39,20.4,1.0,1.2,18.4 x 18.4,20.4 x 20.4,39,20.4 / 18,1.0,
Bobbin EE 10 horizontal 6-pin (Norwe 09650-106),09650-106,https://www.norwe.eu/katalogbilder/001/09650a01.pdf,E 10/5.5/5,E 10/3,3.05,3.05,6.9,4.5,0.4,0.5,3.1,3.1,6.9,6.7,0.6,0.5,3.1 x 3.1,4.3 x 4.3,6.9,6.7 / 5.7,0.6,"bore 3.1 x 3.1 square cannot pass the E 10/5.5/5 column (4.7 deep); E 10/3 (2.94 x 2.94, window 7.15 x 7.12) is the MAS shape it fits, and matches IEC Bobbin E10/3 (c=f=3.15, e=l2=6.8)"
Bobbin EE 10 horizontal 6-pin 2-chamber (Norwe N0100-106),N0100-106,https://www.norwe.eu/katalogbilder/001/09650a01.pdf,E 10/5.5/5,E 10/3,3.05,3.05,6.9,4.5,0.4,0.5,3.1,3.1,6.9,6.7,0.6,0.5,3.1 x 3.1,4.3 x 4.3,6.9,6.7 / 5.7,0.6,"bore 3.1 x 3.1 square cannot pass the E 10/5.5/5 column (4.7 deep); E 10/3 (2.94 x 2.94, window 7.15 x 7.12) is the MAS shape it fits, and matches IEC Bobbin E10/3 (c=f=3.15, e=l2=6.8)"
Bobbin EE 10 horizontal solder-tags (Norwe 09600-024),09600-024,https://www.norwe.eu/katalogbilder/001/09600a01.pdf,E 10/5.5/5,E 10/3,3.05,3.05,6.9,4.5,0.4,0.5,3.1,3.1,6.8,6.7,0.65,0.55,3.1 x 3.1,4.4 x 4.4,6.8,6.7 / 5.6,0.65,"bore 3.1 x 3.1 square cannot pass the E 10/5.5/5 column (4.7 deep); E 10/3 (2.94 x 2.94, window 7.15 x 7.12) is the MAS shape it fits, and matches IEC Bobbin E10/3 (c=f=3.15, e=l2=6.8)"
Bobbin EE 12.6 horizontal 6-pin (Norwe 92033-181),92033-181,https://www.norwe.eu/katalogbilder/001/92033a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,3.9,8.7,8.5,0.85,0.65,3.9 x 4,5.6 x 5.6,8.7,8.5 / 7.2,0.8,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 6-pin 5mm (Norwe 09740-106),09740-106,https://www.norwe.eu/katalogbilder/001/09740a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,3.9,8.7,8.5,0.65,0.7,3.9 x 4,5.2 x 5.2,8.7,8.5 / 7.1,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 6-pin 5mm 2-chamber (Norwe 09741-106),09741-106,https://www.norwe.eu/katalogbilder/001/09740a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,3.9,8.7,8.5,0.65,0.7,3.9 x 4,5.2 x 5.2,8.7,8.5 / 7.1,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 6-pin 5mm 2-chamber-s (Norwe 09742-106),09742-106,https://www.norwe.eu/katalogbilder/001/09740a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,3.9,8.7,8.5,0.65,0.7,3.9 x 4,5.2 x 5.2,8.7,8.5 / 7.1,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 8-pin (Norwe 09750-047),09750-047,https://www.norwe.eu/katalogbilder/001/09750a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,3.9,8.7,8.5,0.55,0.6,3.9 x 4,5 x 5,8.7,8.5 / 7.3,0.5,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 8-pin 2-chamber (Norwe 09751-047),09751-047,https://www.norwe.eu/katalogbilder/001/09750a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,3.9,8.7,8.5,0.55,0.6,3.9 x 4,5 x 5,8.7,8.5 / 7.3,0.5,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 6-pin 2.54mm (Norwe 09770-106),09770-106,https://www.norwe.eu/katalogbilder/001/09770a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,8.7,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,8.7,8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 6-pin 2.54mm 2-chamber (Norwe 09771-106),09771-106,https://www.norwe.eu/katalogbilder/001/09770a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,8.7,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,8.7,8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 6-pin 3.81mm (Norwe 09775-106),09775-106,https://www.norwe.eu/katalogbilder/001/09775a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,8.7,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,8.7,8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal 6-pin 3.81mm 2-chamber (Norwe N0098-106),N0098-106,https://www.norwe.eu/katalogbilder/001/09775a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,8.7,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,8.7,8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6-5 horizontal 6-pin (Norwe 09760-024),09760-024,https://www.norwe.eu/katalogbilder/001/09760a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4.9,3.9,8.5,8.5,0.6,0.5,3.9 x 4.9,5.1 x 6.1,8.5,8.5 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal side-wrap 2.54mm (Norwe 92198-106),92198-106,https://www.norwe.eu/katalogbilder/001/92198a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,4,8.5,8.5,0.55,0.6,4 x 4,5.1 x 5.1,8.5,8.5 / 7.3,0.55,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal side-wrap 2.54mm 2-chamber (Norwe 92183-106),92183-106,https://www.norwe.eu/katalogbilder/001/92198a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,4,8.5,8.5,0.55,0.6,4 x 4,5.1 x 5.1,8.5,8.5 / 7.3,0.55,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal solder-tags (Norwe 09700-024),09700-024,https://www.norwe.eu/katalogbilder/001/09700a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,4,4,8.6,8.5,0.55,0.75,4 x 4,5.1 x 5.1,8.6,8.5 / 7,0.55,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal longer-creepage 6-pin 2.54mm (Norwe N0136-106),N0136-106,https://www.norwe.eu/katalogbilder/001/n0136a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,8.7,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,8.7,8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal longer-creepage 6-pin 2.54mm 2-chamber (Norwe N0137-106),N0137-106,https://www.norwe.eu/katalogbilder/001/n0136a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,8.7,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,8.7,8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 horizontal longer-creepage 6-pin 3.81mm (Norwe N0138-106),N0138-106,https://www.norwe.eu/katalogbilder/001/n0138a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,8.7,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,8.7,8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
