bobbin,url_before,url_after,fix,commit
Bobbin EC 35 CO (Norwe N0174-024),https://www.norwe.eu/katalogbilder/005/N0174a01.pdf,https://www.norwe.eu/katalogbilder/005/n0174a01.pdf,case / file name,1714d5b
Bobbin EC 70 CO (Norwe N0175-024),https://www.norwe.eu/katalogbilder/005/N0175a01.pdf,https://www.norwe.eu/katalogbilder/005/n0175a01.pdf,case / file name,1714d5b
Bobbin EC 90 CO (Norwe N0143-024),https://www.norwe.eu/katalogbilder/005/N0143a01.pdf,https://www.norwe.eu/katalogbilder/005/n0143a01.pdf,case / file name,1714d5b
Bobbin ECU 52 horizontal (Norwe N0170-024),https://www.norwe.eu/katalogbilder/005/N0170a01.pdf,https://www.norwe.eu/katalogbilder/005/n0170a01.pdf,case / file name,1714d5b
Bobbin ECU 52 vertical (Norwe N0172-024),https://www.norwe.eu/katalogbilder/005/N0172a01.pdf,https://www.norwe.eu/katalogbilder/005/n0172a01.pdf,case / file name,1714d5b
Bobbin ECU 70 horizontal (Norwe N0171-024),https://www.norwe.eu/katalogbilder/005/N0171a01.pdf,https://www.norwe.eu/katalogbilder/005/n0171a01.pdf,case / file name,1714d5b
Bobbin ECU 70 vertical (Norwe N0173-024),https://www.norwe.eu/katalogbilder/005/N0173a01.pdf,https://www.norwe.eu/katalogbilder/005/n0173a01.pdf,case / file name,1714d5b
Bobbin EE 10 horizontal 6-pin 2-chamber (Norwe N0100-106),https://www.norwe.eu/katalogbilder/001/N0100a01.pdf,https://www.norwe.eu/katalogbilder/001/09650a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 12.6 horizontal 6-pin 2.54mm 2-chamber (Norwe 09771-106),https://www.norwe.eu/katalogbilder/001/09771a01.pdf,https://www.norwe.eu/katalogbilder/001/09770a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 12.6 horizontal 6-pin 5mm 2-chamber (Norwe 09741-106),https://www.norwe.eu/katalogbilder/001/09741a01.pdf,https://www.norwe.eu/katalogbilder/001/09740a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 12.6 horizontal 6-pin 5mm 2-chamber-s (Norwe 09742-106),https://www.norwe.eu/katalogbilder/001/09742a01.pdf,https://www.norwe.eu/katalogbilder/001/09740a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 12.6 horizontal 8-pin 2-chamber (Norwe 09751-047),https://www.norwe.eu/katalogbilder/001/09751a01.pdf,https://www.norwe.eu/katalogbilder/001/09750a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 12.6 horizontal side-wrap 2.54mm 2-chamber (Norwe 92183-106),https://www.norwe.eu/katalogbilder/001/92183a01.pdf,https://www.norwe.eu/katalogbilder/001/92198a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 12.6 vertical 6-pin 3.81mm 2-chamber (Norwe 09786-106),https://www.norwe.eu/katalogbilder/001/09786a01.pdf,https://www.norwe.eu/katalogbilder/001/09785a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 16 horizontal 6-pin 2.5mm 2-chamber (Norwe 09824-106),https://www.norwe.eu/katalogbilder/001/09824a01.pdf,https://www.norwe.eu/katalogbilder/001/09823a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 16 horizontal 6-pin 3.75mm 6-3k (Norwe 09822-024),https://www.norwe.eu/katalogbilder/001/09822a01.pdf,https://www.norwe.eu/katalogbilder/001/09820a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 16 horizontal 6-pin 3.75mm Zen (Norwe N0099-243),https://www.norwe.eu/katalogbilder/001/N0099a01.pdf,https://www.norwe.eu/katalogbilder/001/n0099a01.pdf,case / file name,1714d5b
Bobbin EE 16 horizontal 6-pin 3.75mm variant-a (Norwe N0099-024),https://www.norwe.eu/katalogbilder/001/N0099a01.pdf,https://www.norwe.eu/katalogbilder/001/n0099a01.pdf,case / file name,1714d5b
Bobbin EE 16 horizontal 6-pin 3.81mm (Norwe N0101-106),https://www.norwe.eu/katalogbilder/001/N0101a01.pdf,https://www.norwe.eu/katalogbilder/001/n0101a01.pdf,case / file name,1714d5b
Bobbin EE 16 horizontal 6-pin 3.81mm 2-chamber (Norwe N0102-106),https://www.norwe.eu/katalogbilder/001/N0102a01.pdf,https://www.norwe.eu/katalogbilder/001/n0101a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 16 horizontal 6-pin 3.81mm-de 2-chamber (Norwe 09868-106),https://www.norwe.eu/katalogbilder/001/09868a01.pdf,https://www.norwe.eu/katalogbilder/001/09867a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 16 horizontal 6-pin 5.0mm 2-chamber (Norwe 09851-024),https://www.norwe.eu/katalogbilder/001/09851a01.pdf,https://www.norwe.eu/katalogbilder/001/09850a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 16 vertical 6-pin 3.75mm 2-chamber (Norwe 09841-024),https://www.norwe.eu/katalogbilder/001/09841a01.pdf,https://www.norwe.eu/katalogbilder/001/09840a01.pdf,sibling sheet lists the order code (PDF text),this commit
Bobbin EE 16 vertical 6-pin 3.75mm-4 2-chamber (Norwe 92246-106),https://www.norwe.eu/katalogbilder/001/92246a01.pdf,https://www.norwe.eu/katalogbilder/001/92245a01.pdf,sibling sheet lists the order code (PDF text),this commit
