name_before,name_after,numberPins_old,numberPins_new,numberPinsPerRow_old,numberPinsPerRow_new,rowDistance_old_mm,rowDistance_new_mm,pitch_old_mm,pitch_new_mm,centralPitch_new_mm,norwe_type_code,datasheetUrl,how_read
Bobbin EE 16 vertical 6-pin 3.81mm 2-chamber (Norwe 09876-106),Bobbin EE 16 vertical 8-pin 3.81mm 2-chamber (Norwe 09876-106),6,8,"[3, 3]","[4, 4]",7.5,8.89,3.81,3.81,,EE 16/1k/9-6/3.81-d(8.89)/A RV250 nat. Spring-Clip SB-EF 16,https://www.norwe.eu/katalogbilder/001/09876a01.pdf,"unruled panel, scale from its own dimension, every distance printed on the sheet"
Bobbin EE 20 horizontal 6-pin 5.0mm (Norwe 09970-024),Bobbin EE 20 horizontal 8-pin 5.0mm (Norwe 09970-024),6,8,"[4, 2]","[4, 4]",20.9,15.0,5.0,5.0,,EE 20/1k/7-6/5.0-gg/p6g Potting Box EE 20,https://www.norwe.eu/katalogbilder/001/09970a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin EE 20 horizontal 6-pin 5.0mm 2-chamber (Norwe 09971-024),Bobbin EE 20 horizontal 8-pin 5.0mm 2-chamber (Norwe 09971-024),6,8,"[4, 2]","[4, 4]",20.9,15.0,5.0,5.0,,EE 20/1k/7-6/5.0-gg/p6g Potting Box EE 20,https://www.norwe.eu/katalogbilder/001/09970a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin EE 20 vertical 8-pin 5.0mm (Norwe 09930-024),Bobbin EE 20 vertical 6-pin 5.0mm (Norwe 09930-024),8,6,"[4, 4]","[3, 3]",10.16,10.0,5.0,5.0,,"EE 20/1k/3-8/5,0-ee/p6g on request",https://www.norwe.eu/katalogbilder/001/09930a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin EE 20 vertical 8-pin 5.0mm 2-chamber (Norwe 09931-024),Bobbin EE 20 vertical 6-pin 5.0mm 2-chamber (Norwe 09931-024),8,6,"[4, 4]","[3, 3]",10.16,10.0,5.0,5.0,,"EE 20/1k/3-8/5,0-ee/p6g on request",https://www.norwe.eu/katalogbilder/001/09930a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin EE 20 vertical 8-pin 5.0mm-9 (Norwe 09946-106),Bobbin EE 20 vertical 6-pin 5.0mm-9 (Norwe 09946-106),8,6,"[4, 4]","[3, 3]",10.16,10.0,5.0,5.0,,EE 20/1k/9-8/5.0-ee/A RV250 nat. 09946-106 Spring-Clip SB-EF/E 20,https://www.norwe.eu/katalogbilder/001/09946a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin EE 20 vertical 8-pin 5.0mm-9 2-chamber (Norwe 09947-106),Bobbin EE 20 vertical 6-pin 5.0mm-9 2-chamber (Norwe 09947-106),8,6,"[4, 4]","[3, 3]",10.16,10.0,5.0,5.0,,EE 20/2k/9-8/5.0-ee/A RV250 nat. 09947-106,https://www.norwe.eu/katalogbilder/001/09946a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin EE 20 vertical 8-pin 5.0mm-a (Norwe 09936-024),Bobbin EE 20 vertical 6-pin 5.0mm-a (Norwe 09936-024),8,6,"[4, 4]","[3, 3]",10.16,10.0,5.0,5.0,,EE 20/1k/a3-8/5.0-ee/p6g on request,https://www.norwe.eu/katalogbilder/001/09936a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin EE 20 vertical longer-creepage 8-pin 5.0mm (Norwe N0196-106),Bobbin EE 20 vertical longer-creepage 6-pin 5.0mm (Norwe N0196-106),8,6,"[4, 4]","[3, 3]",10.16,15.0,5.0,5.0,,EE 20/1k/K12/9-8/5.0-eg/A RV250 nat. N0196-106 onrequest Spring-Clip SB-EF 20,https://www.norwe.eu/katalogbilder/001/n0196a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin EE 20 vertical longer-creepage 8-pin 5.0mm 2-chamber (Norwe N0197-106),Bobbin EE 20 vertical longer-creepage 6-pin 5.0mm 2-chamber (Norwe N0197-106),8,6,"[4, 4]","[3, 3]",10.16,15.0,5.0,5.0,,EE 20/2k/K12/9-8/5.0-eg/A RV250 nat. N0197-106 onrequest,https://www.norwe.eu/katalogbilder/001/n0197a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin M 20 vertical 8-pin 5.0mm (Norwe 00160-024),Bobbin M 20 vertical 6-pin 5.0mm (Norwe 00160-024),8,6,"[4, 4]","[3, 3]",10.16,10.0,5.0,5.0,,M 20/1k/3-8/5.0-ee/p6g on request,https://www.norwe.eu/katalogbilder/001/00160a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin M 20 vertical 8-pin 5.0mm 2-chamber (Norwe 00161-024),Bobbin M 20 vertical 6-pin 5.0mm 2-chamber (Norwe 00161-024),8,6,"[4, 4]","[3, 3]",10.16,10.0,5.0,5.0,,M 20/1k/3-8/5.0-ee/p6g on request,https://www.norwe.eu/katalogbilder/001/00160a01.pdf,"ruled grid, 2.5 mm per step"
Bobbin M 20 vertical 8-pin 5.0mm-9 (Norwe N0114-106),Bobbin M 20 vertical 6-pin 5.0mm-9 (Norwe N0114-106),8,6,"[4, 4]","[3, 3]",10.16,10.0,5.0,5.0,,M 20/1k/9-8/5.0-ee/A RV250 nat. N0114-106 onrequest Spring-Clip SB-EF/E 20,https://www.norwe.eu/katalogbilder/001/n0114a01.pdf,"ruled grid, 2.5 mm per step"
