name_before,name_after,numberPins_before,numberPins_drawn,pins_per_row_drawn,norwe_type_code,datasheetUrl
Bobbin EE 10 horizontal 6-pin (Norwe 09650-106),Bobbin EE 10 horizontal 8-pin (Norwe 09650-106),6,8,4+4,EE 10/1k/6-6/2.54-dd/A RV250 nat. on request,https://www.norwe.eu/katalogbilder/001/09650a01.pdf
Bobbin EE 10 horizontal 6-pin 2-chamber (Norwe N0100-106),Bobbin EE 10 horizontal 8-pin 2-chamber (Norwe N0100-106),6,8,4+4,EE 10/1k/6-6/2.54-dd/A RV250 nat. on request,https://www.norwe.eu/katalogbilder/001/09650a01.pdf
Bobbin EE 12.6 horizontal 6-pin 2.54mm (Norwe 09770-106),Bobbin EE 12.6 horizontal 10-pin 2.54mm (Norwe 09770-106),6,10,5+5,EE 12.6/1k/7-6/2.54-ee/A RV250 nat. Spring-Clip SB-EF 12.6,https://www.norwe.eu/katalogbilder/001/09770a01.pdf
Bobbin EE 12.6 horizontal 6-pin 2.54mm 2-chamber (Norwe 09771-106),Bobbin EE 12.6 horizontal 10-pin 2.54mm 2-chamber (Norwe 09771-106),6,10,5+5,EE 12.6/1k/7-6/2.54-ee/A RV250 nat. Spring-Clip SB-EF 12.6,https://www.norwe.eu/katalogbilder/001/09770a01.pdf
Bobbin EE 12.6 horizontal longer-creepage 6-pin 2.54mm (Norwe N0136-106),Bobbin EE 12.6 horizontal longer-creepage 10-pin 2.54mm (Norwe N0136-106),6,10,5+5,EE 12.6/1k/K9.5/7-6/2.54-eg/A RV250 nat. N0136-106 Spring-Clip SB-EF 12.6,https://www.norwe.eu/katalogbilder/001/n0136a01.pdf
Bobbin EE 12.6 horizontal longer-creepage 6-pin 2.54mm 2-chamber (Norwe N0137-106),Bobbin EE 12.6 horizontal longer-creepage 10-pin 2.54mm 2-chamber (Norwe N0137-106),6,10,5+5,EE 12.6/2k/K9.5/7-6/2.54-eg/A RV250 nat. N0137-106,https://www.norwe.eu/katalogbilder/001/n0137a01.pdf
Bobbin EE 12.6-5 horizontal 6-pin (Norwe 09760-024),Bobbin EE 12.6-5 horizontal 10-pin (Norwe 09760-024),6,10,5+5,EE 12.6-5/1k/6-6/2.5-ee/p6g Snap-on Potting Box EE 12.6,https://www.norwe.eu/katalogbilder/001/09760a01.pdf
Bobbin EE 16 horizontal 6-pin 2.54mm (Norwe 09860-024),Bobbin EE 16 horizontal 10-pin 2.54mm (Norwe 09860-024),6,10,5+5,EE 16/1k/7-6/2.54-eg/p6g Snap-on Potting Box EE 16,https://www.norwe.eu/katalogbilder/001/09860a01.pdf
Bobbin EE 16 horizontal 6-pin 2.54mm A3X2G10 (Norwe 09870-181),Bobbin EE 16 horizontal 14-pin 2.54mm A3X2G10 (Norwe 09870-181),6,14,7+7,"EE 16/1k/7-6/2.54-gg/A3X2G10,sw 09870-181 Snap-on Potting Box EE 16",https://www.norwe.eu/katalogbilder/001/09870a01.pdf
Bobbin EE 16 horizontal 6-pin 2.5mm (Norwe 09823-106),Bobbin EE 16 horizontal 10-pin 2.5mm (Norwe 09823-106),6,10,5+5,EE 16/1k/7-6/2.5-ef/A RV250 nat. 09823-106 Snap-on Potting Box EE 16,https://www.norwe.eu/katalogbilder/001/09823a01.pdf
