name,orderCode,field,old_m,new_m,source,reading,provenance
Bobbin PQ 20/16,PQ0010FR3BLK0001,dimensions.H3,,0.00548,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0010.pdf,side view: bottom flange outer face (left extension line of H1) to the pin standoff (left extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.08 mm, H2 +0.03 mm, a -0.06 mm"
Bobbin PQ 20/16,PQ0010FR3BLK0001,dimensions.H4,,0.00295,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0010.pdf,side view: top flange outer face (right extension line of H1) to the top of the core-retaining tabs (right extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.08 mm, H2 +0.03 mm, a -0.06 mm"
Bobbin PQ 20/16,PQ0010FR3BLK0001,dimensions.b1,,0.00406,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0010.pdf,"top view: outer rail edge (extension line of b) to the innermost edge of the rail outline, mean of the two rows","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.08 mm, H2 +0.03 mm, a -0.06 mm"
Bobbin PQ 20/16,PQ0010FR3BLK0001,dimensions.a1,,0.00246,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0010.pdf,"top view: between the facing edges of the two rail blocks of a row, centred on the column axis","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.08 mm, H2 +0.03 mm, a -0.06 mm"
Bobbin PQ 20/20,PQ0020FR3BLK0001,dimensions.H3,,0.00557,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0020.pdf,side view: bottom flange outer face (left extension line of H1) to the pin standoff (left extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 -0.01 mm, H2 -0.03 mm, a -0.04 mm"
Bobbin PQ 20/20,PQ0020FR3BLK0001,dimensions.H4,,0.00295,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0020.pdf,side view: top flange outer face (right extension line of H1) to the top of the core-retaining tabs (right extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 -0.01 mm, H2 -0.03 mm, a -0.04 mm"
Bobbin PQ 20/20,PQ0020FR3BLK0001,dimensions.b1,,0.00405,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0020.pdf,"top view: outer rail edge (extension line of b) to the innermost edge of the rail outline, mean of the two rows","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 -0.01 mm, H2 -0.03 mm, a -0.04 mm"
Bobbin PQ 20/20,PQ0020FR3BLK0001,dimensions.a1,,0.00248,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0020.pdf,"top view: between the facing edges of the two rail blocks of a row, centred on the column axis","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 -0.01 mm, H2 -0.03 mm, a -0.04 mm"
Bobbin PQ 26/20,PQ0030FR3BLK0001,dimensions.H3,,0.00644,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0030.pdf,side view: bottom flange outer face (left extension line of H1) to the pin standoff (left extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.03 mm, H2 -0.06 mm, a +0.04 mm"
Bobbin PQ 26/20,PQ0030FR3BLK0001,dimensions.H4,,0.0043,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0030.pdf,side view: top flange outer face (right extension line of H1) to the top of the core-retaining tabs (right extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.03 mm, H2 -0.06 mm, a +0.04 mm"
