bobbin,numberChambers,status,W_mm,w_mm,c_mm,datasheetUrl
Bobbin EE 16 horizontal 6-pin 3.75mm 2-chamber (Norwe 92062-024),2,already carries exactly this geometry,10.0,1.0,4.5,https://www.norwe.eu/katalogbilder/001/92062a01.pdf
Bobbin EE 16 horizontal 6-pin 3.75mm 2-chamber Zen (Norwe 92062-243),2,already carries exactly this geometry,10.0,1.0,4.5,https://www.norwe.eu/katalogbilder/001/92062a01.pdf
Bobbin EE 16 horizontal longer-creepage 10-pin 2.5mm 2-chamber (Norwe 09864-106),2,already carries exactly this geometry,10.0,0.6,4.7,https://www.norwe.eu/katalogbilder/001/09864a01.pdf
Bobbin EE 16 horizontal longer-creepage 6-pin 3.81mm 2-chamber (Norwe 09874-106),2,already carries exactly this geometry,10.0,0.6,4.7,https://www.norwe.eu/katalogbilder/001/09874a01.pdf
Bobbin EE 16 vertical 6-pin 3.81mm 2-chamber (Norwe 09876-106),2,already carries exactly this geometry,10.0,0.6,4.7,https://www.norwe.eu/katalogbilder/001/09876a01.pdf
Bobbin EE 16 vertical longer-creepage 6-pin 3.75mm 2-chamber (Norwe 09886-106),2,already carries exactly this geometry,10.0,0.6,4.7,https://www.norwe.eu/katalogbilder/001/09886a01.pdf
Bobbin EE 16 vertical longer-creepage 8-pin 3.81mm 2-chamber (Norwe 09896-106),2,already carries exactly this geometry,10.0,0.6,4.7,https://www.norwe.eu/katalogbilder/001/09896a01.pdf
Bobbin EE 20 horizontal longer-creepage 8-pin 3.81mm 2-chamber (Norwe 09991-106),2,already carries exactly this geometry,12.5,0.6,5.95,https://www.norwe.eu/katalogbilder/001/09991a01.pdf
Bobbin EE 25 horizontal longer-creepage 10-pin 5.08mm 2-chamber (Norwe 10166-106),2,already carries exactly this geometry,15.6,0.7,7.45,https://www.norwe.eu/katalogbilder/001/10166a01.pdf
Bobbin ETD 24 horizontal lr 2-chamber 12-pin (Norwe 90596-186),2,already carries exactly this geometry,18.0,1.0,8.5,https://www.norwe.eu/katalogbilder/002/90596a01.pdf
Bobbin ETD 49 horizontal lr 2-chamber 20-pin (Norwe 90565-186),2,already carries exactly this geometry,32.8,1.0,15.9,https://www.norwe.eu/katalogbilder/002/90565a01.pdf
Bobbin PQ 32-20 12-pin 2-chamber (Norwe 90832-186),2,already carries exactly this geometry,8.8,1.0,3.9,https://www.norwe.eu/katalogbilder/004/90832a01.pdf
Bobbin PQ 32-30 12-pin 2-chamber (Norwe 90833-186),2,already carries exactly this geometry,18.6,1.0,8.8,https://www.norwe.eu/katalogbilder/004/90833a01.pdf
Bobbin EE 12.6 horizontal 6-pin 5mm 2-chamber-s (Norwe 09742-106),2,numberChambers only: no transcription (see WHAT IS NOT WRITTEN),,,,https://www.norwe.eu/katalogbilder/001/09740a01.pdf
Bobbin EE 20 horizontal 6-pin 2.5mm 2-chamber (Norwe N0105-106),2,numberChambers only: no transcription (see WHAT IS NOT WRITTEN),,,,https://www.norwe.eu/katalogbilder/001/10037a01.pdf
Bobbin EE 20 vertical 8-pin 5.0mm 2-chamber (Norwe 09931-024),2,numberChambers only: no transcription (see WHAT IS NOT WRITTEN),,,,https://www.norwe.eu/katalogbilder/001/09930a01.pdf
Bobbin EE 25 horizontal solder-tags ll 2-chamber (Norwe 10112-024),2,numberChambers only: no transcription (see WHAT IS NOT WRITTEN),,,,https://www.norwe.eu/katalogbilder/001/10110a01.pdf
Bobbin EE 25 horizontal solder-tags ll 3-chamber (Norwe 10113-024),3,numberChambers only: no transcription (see WHAT IS NOT WRITTEN),,,,https://www.norwe.eu/katalogbilder/001/10110a01.pdf
Bobbin EE 32 horizontal 12-pin 5.08mm 2-chamber-s (Norwe 10751-024),2,numberChambers only: no transcription (see WHAT IS NOT WRITTEN),,,,https://www.norwe.eu/katalogbilder/001/10750a01.pdf
Bobbin EFD 15 8-pin 3.75mm 3-chamber (Norwe N0180-087),3,numberChambers only: no transcription (see WHAT IS NOT WRITTEN),,,,https://www.norwe.eu/katalogbilder/008/94320a01.pdf
