bobbin,url,status,numberRows,numberPinsPerRow,rowDistance_mm,pitch_mm,centralPitch_mm,typeCode,reason
Bobbin EER 35 horizontal 16-pin (Norwe 90298-186),https://www.norwe.eu/katalogbilder/002/90298a01.pdf,already-present,2,"[8, 8]",35.0,5.0,,EER 35/h16/-8/SKYT.5220FR on request,the drawing agrees with what the record holds
Bobbin EE 12.6 vertical 6-pin 3.81mm (Norwe 09785-106),https://www.norwe.eu/katalogbilder/001/09785a01.pdf,conflict,2,"[3, 3]",7.62,3.81,,EE 12.6/1k/9-6/3.81-cc/A RV250 nat. 09785-106 Spring-Clip SB-EF 12.6,"rowDistance: record 0.0076, drawing 7.62"
Bobbin ETD 29 horizontal 14-pin (Norwe 90779-186),https://www.norwe.eu/katalogbilder/002/90779a01.pdf,conflict,2,"[7, 7]",25.4,5.08,,ETD 29/h14/-1/SKYT.5220FR Clip FK-ETD 29,"rowDistance: record 0.0258, drawing 25.4; pitch: record 0.005, drawing 5.08"
Bobbin ETD 29 horizontal 14-pin side-wrap (Norwe 90777-186),https://www.norwe.eu/katalogbilder/002/90777a01.pdf,conflict,2,"[7, 7]",25.4,5.08,,ETD 29/h14/s-/SKYT.5220FR Clip FK-ETD 29,"rowDistance: record 0.0258, drawing 25.4; pitch: record 0.005, drawing 5.08"
Bobbin ETD 29 horizontal lr 14-pin (Norwe 90573-186),https://www.norwe.eu/katalogbilder/002/90573a01.pdf,conflict,2,"[7, 7]",25.4,5.08,,ETD 29/lr/h14/-1/SKYT.5220FR Clip FK-ETD 29,"rowDistance: record 0.0258, drawing 25.4; pitch: record 0.005, drawing 5.08"
Bobbin ETD 29 vertical 12-pin (Norwe 90641-186),https://www.norwe.eu/katalogbilder/002/90641a01.pdf,conflict,2,"[6, 6]",20.32,5.08,,ETD 29/v12/-1/SKYT.5220FR Clip FK-ETD 29,"rowDistance: record 0.02, drawing 20.32; pitch: record 0.005, drawing 5.08"
Bobbin ETD 44 horizontal 18-pin (Norwe 90784-186),https://www.norwe.eu/katalogbilder/002/90784a01.pdf,conflict,2,"[9, 9]",35.56,5.08,,ETD 44/h18/-1/SKYT.5220FR Clip FK-ETD 44,"rowDistance: record 0.0358, drawing 35.56; pitch: record 0.0049667, drawing 5.08"
Bobbin ETD 44 horizontal 18-pin side-wrap (Norwe 90792-186),https://www.norwe.eu/katalogbilder/002/90792a01.pdf,conflict,2,"[9, 9]",35.56,5.08,,ETD 44/h18/s-/SKYT.5220FR Clip FK-ETD 44,"rowDistance: record 0.0358, drawing 35.56; pitch: record 0.0049667, drawing 5.08"
Bobbin ETD 44 horizontal lr 18-pin (Norwe 90576-186),https://www.norwe.eu/katalogbilder/002/90576a01.pdf,conflict,2,"[9, 9]",35.56,5.08,,ETD 44/lr/h18/-1/SKYT.5220FR Clip FK-ETD 44,"rowDistance: record 0.0358, drawing 35.56; pitch: record 0.0049667, drawing 5.08"
Bobbin ETD 49 horizontal 20-pin (Norwe 90786-186),https://www.norwe.eu/katalogbilder/002/90786a01.pdf,conflict,2,"[10, 10]",40.64,5.08,,ETD 49/h20/-1/SKYT.5220FR Clip FK-ETD 49,"rowDistance: record 0.0404, drawing 40.64; pitch: record 0.004975, drawing 5.08"
